H1,H2,H3,Pdeficit,f_drop_real,t_nadir_real
15.972,8.9457,5.4708,28.172,-0.879994850278993,5.5296
18.575,8.1386,7.1115,19.529,-0.584605346771503,5.9372
17.25,4.733,7.9945,11.346,-0.354400755795347,5.4792
21.065,4.5079,8.117,20.417,-0.611397507133378,5.92133333333333
16.041,6.5508,8.4571,17.989,-0.55607666576499,5.6092
19.489,7.6521,5.4859,39.526,-1.23230726393175,5.79693333333333
17.526,8.3316,7.3922,10.873,-0.326887109258593,5.86986666666667
18.159,8.183,7.0046,22.01,-0.662915644167597,5.88106666666667
22.68,5.4105,7.2906,15.505,-0.45527848352087,6.1148
23.533,5.813,8.3072,21.658,-0.622407167778108,6.36853333333333
15.884,8.4828,6.06,26.62,-0.83095378157436,5.53333333333333
20.277,8.9938,6.1856,31.426,-0.92734344611409,6.12306666666667
16.357,5.6217,8.5694,28.519,-0.88947617688127,5.5476
13.778,8.7258,6.4191,16.187,-0.514112468184285,5.34746666666667
13.035,7.3998,4.8638,28.792,-0.973980779145129,4.88253333333333
19.751,5.6802,8.2959,14.825,-0.44338330291644,5.92413333333333
20.717,7.0558,8.1138,18.55,-0.542683263180289,6.1708
15.297,7.3208,7.588,28.999,-0.908779974515262,5.5052
18.733,8.8144,3.8596,35.22,-1.09586341052186,5.65026666666667
12.809,8.6903,6.4208,29.025,-0.94012291901004,5.22106666666667
13.343,7.7517,8.1742,23.88,-0.75683858895045,5.38973333333333
20.394,5.1624,7.9206,37.266,-1.13383194574779,5.8944
23.911,5.2966,3.6898,36.995,-1.13618958394282,5.82666666666667
20.004,4.2325,7.984,26.489,-0.808108394511,5.74666666666667
21.124,8.4849,5.2163,34.054,-1.01264955320188,6.04933333333333
13.7,8.6484,6.1068,30.315,-0.975768745511036,5.28773333333333
18.429,5.9571,7.7611,31.125,-0.952508126596455,5.73733333333333
18.528,7.1861,3.0084,28.638,-0.913704559125445,5.32066666666667
19.99,6.8508,7.5906,33.531,-1.00081487985845,6.0036
16.043,5.496,3.3752,26.471,-0.89199108573097,4.8292
12.932,5.7761,8.3446,21.73,-0.70853344288812,5.1088
19.762,5.7824,7.7174,31.767,-0.959819363613054,5.86773333333333
17.521,8.0948,4.7486,24.737,-0.771973017113505,5.52253333333333
15.086,7.4779,8.8971,34.957,-1.09085662445258,5.6548
18.646,4.3214,8.5209,34.591,-1.07590661023618,5.658
15.372,4.0719,7.826,13.815,-0.447324882246439,5.13626666666667
14.772,4.2489,3.1882,26.132,-0.92900004439842,4.45893333333333
19.808,6.3518,5.4383,14.978,-0.459405530615444,5.6708
13.92,7.858,7.5754,13.279,-0.419140400277135,5.39786666666667
20.12,7.5244,7.4144,23.465,-0.693612638060106,6.074
17.33,6.9055,3.8617,22.98,-0.737791251469691,5.24066666666667
23.998,6.4248,8.7893,32.396,-0.919985148094904,6.53413333333333
21.271,6.9533,8.2649,19.383,-0.563626534875561,6.23493333333333
21.211,6.3984,7.0465,14.992,-0.443840690986265,6.0276
14.855,8.2252,6.5311,22.327,-0.703476905938563,5.4288
20.609,8.1699,5.2886,39.49,-1.19896410525915,5.95946666666667
15.432,5.6863,5.0601,34.303,-1.19156431724395,4.99386666666667
19.113,7.2527,8.3044,27.781,-0.82565042660854,6.0284
14.877,5.8125,7.5625,23.561,-0.755280102314358,5.25906666666667
17.248,6.1828,6.1592,29.001,-0.914793560377541,5.4256
15.097,7.799,8.2202,21.449,-0.663577567029437,5.6112
19.213,6.0948,4.0963,18.712,-0.590335193270252,5.4024
20.412,7.9138,6.2524,22.886,-0.680082802924384,6.01733333333333
19.214,3.8896,4.9214,12.598,-0.403477596483299,5.22946666666667
12.196,7.7812,6.8327,38.791,-1.42403884063539,5.07426666666667
22.859,3.2222,3.5313,14.253,-0.44785650076529,5.4272
18.727,7.9325,7.7773,12.351,-0.366504183746098,6.0004
18.596,5.5238,6.758,31.277,-0.972064938732213,5.58133333333333
16.174,5.7211,4.3243,21.281,-0.700919383299798,4.9972
13.986,5.6402,7.1235,27.11,-0.8891123627931,5.0656
17.672,5.7096,8.904,24.269,-0.740117593755022,5.74866666666667
16.333,7.2788,7.7044,28.335,-0.875419372673101,5.63306666666667
16.477,7.9084,7.7331,11.04,-0.336403830010355,5.72866666666667
22.527,5.8948,8.7602,39.518,-1.15156138273777,6.30853333333333
21.867,4.2634,3.3757,31.21,-0.992507454598579,5.41266666666667
20.754,5.6807,6.5505,22.427,-0.677638748900419,5.83053333333333
21.744,6.3459,7.8081,17.143,-0.5011004110822,6.1648
22.686,8.4188,3.7077,20.298,-0.600963975074658,6.0416
18.582,7.9283,4.1131,10.934,-0.338940921186352,5.54866666666667
20.687,5.9017,6.6355,32.691,-0.988727254348949,5.858
19.8,5.2968,6.1645,36.721,-1.15390052421057,5.62546666666667
13.161,5.1405,7.6928,28.036,-0.934057462270587,4.96613333333333
13.205,8.5058,5.7527,31.847,-1.05218641778914,5.15573333333333
15.798,8.0769,8.9236,13.242,-0.400794724684595,5.80773333333333
21.011,7.5876,4.5529,10.959,-0.329809188390286,5.84893333333333
19.166,5.961,3.2215,25.632,-0.821324235618182,5.2672
17.542,5.0946,8.9619,15.583,-0.477901800843307,5.66506666666667
23.73,5.2245,8.4598,21.495,-0.619028071725918,6.3324
15.703,5.8663,5.4289,34.32,-1.16494965040043,5.0952
15.239,4.2048,6.4231,36.523,-1.32270916873487,4.94826666666667
18.311,8.9608,4.9793,21.124,-0.643937805777715,5.74213333333333
16.888,6.3815,3.3331,34.634,-1.18870835399346,5.0436
20.696,3.2284,3.4284,22.513,-0.730901908689386,5.14
17.264,7.8685,5.2584,20.365,-0.634672275293762,5.51853333333333
19.982,6.8963,8.6747,26.809,-0.788989497996934,6.1236
21.728,6.5042,7.3838,14.162,-0.414854717031532,6.13053333333333
13.446,8.4377,4.5937,28.953,-0.95779481342424,5.02706666666667
16.483,4.5067,5.4694,36.47,-1.28972897903769,5.02466666666667
16.078,8.7772,6.6939,16.966,-0.521251691917733,5.65773333333333
19.855,7.5601,8.9917,29.608,-0.864536754490802,6.21906666666667
20.731,8.9875,3.5492,13.073,-0.392870908992506,5.86053333333333
19.261,5.5431,4.9198,14.91,-0.46792538920885,5.43626666666667
23.378,3.1283,8.2573,23.281,-0.689176883798943,6.03306666666667
14.439,5.8261,8.0306,12.29,-0.392866807463519,5.25826666666667
23.545,6.0165,8.2474,37.07,-1.0693730501612,6.3736
14.423,7.7754,6.4291,31.306,-1.00719614875946,5.29946666666667
19.187,4.4961,5.3606,37.328,-1.23492983091454,5.35133333333333
20.165,5.71,5.7643,14.453,-0.442808352023957,5.66733333333333
20.692,8.997,6.8129,16.477,-0.478977980891497,6.22866666666667
16.946,7.4489,5.8439,25.11,-0.784931026364051,5.498
22.527,5.7246,7.2717,26.798,-0.788193958247222,6.11813333333333
18.745,3.4599,4.6713,19.506,-0.635420325277469,5.07666666666667
20.937,8.2301,5.7215,27.546,-0.816910419645736,6.046
20.339,7.883,8.8635,20.647,-0.59722072174319,6.29293333333333
23.76,3.9551,8.1271,29.262,-0.858277038904337,6.15386666666667
20.38,6.292,7.3219,37.661,-1.13790230052534,5.94293333333333
20.681,6.4128,8.9819,31.323,-0.917953502513469,6.17986666666667
15.674,8.2015,7.0245,17.625,-0.545854114644843,5.57746666666667
21.737,3.5147,6.1797,34.24,-1.06316571427026,5.6412
15.533,8.456,6.5174,28.935,-0.90303278315166,5.5296
20.474,5.7249,6.2039,26.677,-0.812516235488572,5.75666666666667
16.222,5.8119,8.934,33.709,-1.05453564236421,5.58533333333333
17.622,8.7115,5.4103,31.435,-0.966791249239804,5.67826666666667
23.001,3.6132,6.9798,11.47,-0.343051601104888,5.89586666666667
13.458,8.8349,3.6509,32.342,-1.10964371675726,4.9544
13.197,8.9613,6.3249,32.159,-1.04432394014686,5.27933333333333
19.718,3.5745,5.221,16.248,-0.517156446208958,5.28306666666667
19.692,8.8286,4.1586,11.768,-0.356049124601983,5.78853333333333
22.412,6.6237,8.0655,13.365,-0.385401856480816,6.2932
12.347,6.3338,7.2405,24.621,-0.816337695383959,4.95106666666667
21.386,7.4757,8.6277,20.379,-0.586858376454365,6.33586666666667
21.095,4.7993,8.2434,36.746,-1.10589883187541,5.95773333333333
14.92,5.2794,8.9523,39.029,-1.32490663493367,5.36173333333333
20.822,7.6102,4.8274,27.96,-0.844219484333663,5.8556
16.694,6.6023,5.1135,29.278,-0.938431981030775,5.26906666666667
13.267,5.773,8.874,19.833,-0.638856919023743,5.20653333333333
20.271,8.8945,6.6948,35.61,-1.04786146146978,6.1536
17.381,6.6623,6.0172,24.298,-0.760866786077006,5.47346666666667
17.52,7.5613,5.0243,12.584,-0.392831370554407,5.47893333333333
23.035,4.8303,8.3743,12.706,-0.369321057587637,6.19613333333333
20.795,6.6259,8.9223,33.777,-0.988015319911032,6.20773333333333
17.203,6.7058,5.6359,13.644,-0.428969500483591,5.41
19.709,5.5045,5.4602,31.391,-0.978938414931828,5.54786666666667
20.179,3.3409,8.919,12.4,-0.375730003214943,5.7588
21.288,6.8857,7.1452,20.06,-0.590603267649353,6.092
20.99,7.4754,7.6249,25.703,-0.751954000083569,6.17906666666667
17.883,7.0587,7.6833,28.426,-0.864416200616246,5.78066666666667
13.118,3.2567,8.4446,29.816,-1.03313523491275,4.804
20.452,5.5557,6.2003,33.727,-1.03392260757351,5.73133333333333
14.651,7.203,8.099,34.73,-1.11132273944255,5.45973333333333
21.299,7.7542,4.3547,26.32,-0.792923260166645,5.872
18.401,8.9873,5.2068,23.924,-0.726967779720583,5.7768
